Besoldungsgruppe,Amtsbezeichnung,Zusatz
A3,Hauptamtsgehilfin/Hauptamtsgehilfe,bei der Bundesagentur für Arbeit
A3,Hauptamtsgehilfin/Hauptamtsgehilfe,Bundesbank-
A3,Hauptamtsgehilfin/Hauptamtsgehilfe,Technische/Technischer
A3,Hauptamtsgehilfin/Hauptamtsgehilfe,Betriebs-
A3,Hauptamtsgehilfin/Hauptamtsgehilfe,Post-
A3,Hauptamtsgehilfin/Hauptamtsgehilfe,Justiz-
A3,Hauptamtsgehilfin/Hauptamtsgehilfe,Zoll-
A3,Oberaufseherin/Oberaufseher,bei der Bundesagentur für Arbeit
A3,Oberaufseherin/Oberaufseher,Bundesbank-
A3,Oberaufseherin/Oberaufseher,Technische/Technischer
A3,Oberaufseherin/Oberaufseher,Betriebs-
A3,Oberaufseherin/Oberaufseher,Post-
A3,Oberaufseherin/Oberaufseher,Justiz-
A3,Oberaufseherin/Oberaufseher,Zoll-
A3,Oberschaffnerin/Oberschaffner,bei der Bundesagentur für Arbeit
A3,Oberschaffnerin/Oberschaffner,Bundesbank-
A3,Oberschaffnerin/Oberschaffner,Technische/Technischer
A3,Oberschaffnerin/Oberschaffner,Betriebs-
A3,Oberschaffnerin/Oberschaffner,Post-
A3,Oberschaffnerin/Oberschaffner,Justiz-
A3,Oberschaffnerin/Oberschaffner,Zoll-
A3,Oberwachtmeisterin/Oberwachtmeister,bei der Bundesagentur für Arbeit
A3,Oberwachtmeisterin/Oberwachtmeister,Bundesbank-
A3,Oberwachtmeisterin/Oberwachtmeister,Technische/Technischer
A3,Oberwachtmeisterin/Oberwachtmeister,Betriebs-
A3,Oberwachtmeisterin/Oberwachtmeister,Post-
A3,Oberwachtmeisterin/Oberwachtmeister,Justiz-
A3,Oberwachtmeisterin/Oberwachtmeister,Zoll-
A4,Amtsmeisterin/Amtsmeister,bei der Bundesagentur für Arbeit
A4,Amtsmeisterin/Amtsmeister,Bundesbank-
A4,Amtsmeisterin/Amtsmeister,Technische/Technischer
A4,Hauptaufseherin/Hauptaufseher,Betriebs-
A4,Hauptschaffnerin/Hauptschaffner,Post-
A4,Hauptwachtmeisterin/Hauptwachtmeister,Justiz-
A4,Hauptwachtmeisterin/Hauptwachtmeister,Zoll-
A4,Oberwartin/Oberwart,Post-
A5,Betriebsassistentin/Betriebsassistent,Bundesbahn-
A5,Betriebsassistentin/Betriebsassistent,Post-
A5,Erste Hauptwachtmeisterin/Erster Hauptwachtmeister,Justiz-
A5,Erste Hauptwachtmeisterin/Erster Hauptwachtmeister,Zoll-
A5,Hauptwartin/Hauptwart,Post-
A5,Oberamtsmeisterin/Oberamtsmeister,bei der Bundesagentur für Arbeit
A5,Oberamtsmeisterin/Oberamtsmeister,Bundesbank-
A5,Oberamtsmeisterin/Oberamtsmeister,Technische/Technischer
A6,Betriebsassistentin/Betriebsassistent,Bundesbahn-
A6,Betriebsassistentin/Betriebsassistent,Bundesfernstraßen-
A6,Betriebsassistentin/Betriebsassistent,Post-
A6,Erste Hauptwachtmeisterin/Erster Hauptwachtmeister,Justiz-
A6,Erste Hauptwachtmeisterin/Erster Hauptwachtmeister,Zoll-
A6,Hauptwartin/Hauptwart,Post-
A6,Oberamtsmeisterin/Oberamtsmeister,bei der Bundesagentur für Arbeit
A6,Oberamtsmeisterin/Oberamtsmeister,Bundesbank-
A6,Oberamtsmeisterin/Oberamtsmeister,Technische/Technischer
A6,Sekretärin/Sekretär,Archiv-
A6,Sekretärin/Sekretär,bei der Bundesagentur für Arbeit
A6,Sekretärin/Sekretär,Bibliotheks-
A6,Sekretärin/Sekretär,Bundesbahn-
A6,Sekretärin/Sekretär,Bundesbank-
A6,Sekretärin/Sekretär,Bundesfernstraßen-
A6,Sekretärin/Sekretär,Forst-
A6,Sekretärin/Sekretär,Justiz-
A6,Sekretärin/Sekretär,Post-
A6,Sekretärin/Sekretär,Regierungs-
A6,Sekretärin/Sekretär,Schiffs-
A6,Sekretärin/Sekretär,Steuer-
A6,Sekretärin/Sekretär,Technische Bundesbahn-/Technischer Bundesbahn-
A6,Sekretärin/Sekretär,Technische Bundesfernstraßen-/Technischer Bundesfernstraßen-
A6,Sekretärin/Sekretär,Technische Regierungs-/Technischer Regierungs-
A6,Sekretärin/Sekretär,Zoll-
A7,Obersekretärin/Obersekretär,Archiv-
A7,Obersekretärin/Obersekretär,bei der Bundesagentur für Arbeit
A7,Obersekretärin/Obersekretär,Bibliotheks-
A7,Obersekretärin/Obersekretär,Bundesbahn-
A7,Obersekretärin/Obersekretär,Bundesbank-
A7,Obersekretärin/Obersekretär,Bundesfernstraßen-
A7,Obersekretärin/Obersekretär,Forst-
