Funktionsbezeichnung,Zusatz
Ärztin/Arzt,Amts-
Beraterin/Berater,Völkerrechts-
Beauftragte/Beauftragter,Datenschutz-
Beauftragte/Beauftragter,Gleichstellungs-
Beauftragte/Beauftragter,Sonder-
Dolmetscherin/Dolmetscher,
Fremdsprachenassistentin/Fremdsprachenassistent,
Gepäckmeisterin/Gepäckmeister,
Hausintendantin der Bundespräsidentin/Hausintendant des Bundespräsidenten,
Koordinatorin/Koordinator,
Kraftfahrerin/Kraftfahrer,
Leiterin/Leiter/Leitung,Abteilungs-
Leiterin/Leiter/Leitung,Amts-
Leiterin/Leiter/Leitung,Büro-
Leiterin/Leiter/Leitung,Fachbereichs-
Leiterin/Leiter/Leitung,Referats-
Leiterin Arbeitsstab,Leiter Arbeitsstab
Persönliche Mitarbeiterin/Persönlicher Mitarbeiter,
Persönliche Referentin/Persönlicher Referent,
Politische Direktorin/Politischer Direktor,
Polizeibeamtin/Polizeibeamter,
Protokollchefin/Protokollchef,
Registratorin/Registrator,
Referentin/Referent,Protokoll-
Sachbearbeiterin/Sachbearbeiter,Büro-
Sachbearbeiterin/Sachbearbeiter,Protokoll-
Sicherheitsbeamtin/Sicherheitsbeamter,
Sprecherin/Sprecher,Presse-
Übersetzerin/Übersetzer,
Überprüferin/Überprüfer,
Bundeskanzlerin/Bundeskanzler,
Bundesministerin/Bundesminister,
Parlamentarische Staatssekretärin/Parlamentarischer Staatssekretär,
Ministerin/Minister,
Landesministerin/Landesminister,
Senatorin/Senator,
Bundespräsidentin/Bundespräsident,
Staatsministerin/Staatsminister,
